type,order_release_id,details
Missing Settlement,8336116099,Order Amount: ₹949.00
Missing Settlement,8340608649,Order Amount: ₹599.00
Missing Settlement,8338573902,Order Amount: ₹499.00
Missing Settlement,8323641764,Order Amount: ₹599.00
Missing Settlement,8337988337,Order Amount: ₹999.00
Missing Settlement,8332850076,Order Amount: ₹599.00
Missing Settlement,8329727603,Order Amount: ₹799.00
Missing Settlement,8340608231,Order Amount: ₹799.00
Missing Settlement,8333767338,Order Amount: ₹599.00
Missing Settlement,8321619988,Order Amount: ₹799.00
Missing Settlement,8336805622,Order Amount: ₹599.00
Missing Settlement,8326124351,Order Amount: ₹799.00
Missing Settlement,8336592047,Order Amount: ₹599.00
Missing Settlement,8329270200,Order Amount: ₹799.00
Missing Settlement,8336134894,Order Amount: ₹699.00
Missing Settlement,8336882044,Order Amount: ₹999.00
Missing Settlement,8333981313,Order Amount: ₹799.00
Missing Settlement,8334334457,Order Amount: ₹799.00
Missing Settlement,8327914231,Order Amount: ₹799.00
Missing Settlement,8331178939,Order Amount: ₹999.00
Missing Settlement,8332896609,Order Amount: ₹799.00
Missing Settlement,8335816717,Order Amount: ₹799.00
Missing Settlement,8337898922,Order Amount: ₹799.00
Missing Settlement,8338937710,Order Amount: ₹949.00
Missing Settlement,8324960990,Order Amount: ₹599.00
Missing Settlement,8329974888,Order Amount: ₹699.00
Missing Settlement,8329056015,Order Amount: ₹499.00
Missing Settlement,8330504701,Order Amount: ₹799.00
Missing Settlement,8339975628,Order Amount: ₹799.00
Missing Settlement,8313353169,Order Amount: ₹599.00
Missing Settlement,8324772472,Order Amount: ₹699.00
Missing Settlement,8323134981,Order Amount: ₹799.00
Missing Settlement,8340169687,Order Amount: ₹849.00
Missing Settlement,8328066518,Order Amount: ₹999.00
Missing Settlement,8328400396,Order Amount: ₹599.00
Missing Settlement,8315517950,Order Amount: ₹799.00
Missing Settlement,8326181267,Order Amount: ₹599.00
Missing Settlement,8329727601,Order Amount: ₹799.00
Missing Settlement,8339873353,Order Amount: ₹799.00
Missing Settlement,8324641880,Order Amount: ₹949.00
Missing Settlement,8339329737,Order Amount: ₹799.00
Missing Settlement,8323846114,Order Amount: ₹699.00
Missing Settlement,8338796223,Order Amount: ₹799.00
Missing Settlement,8337627439,Order Amount: ₹599.00
Missing Settlement,8323588201,Order Amount: ₹699.00
Missing Settlement,8305913988,Order Amount: ₹799.00
Missing Settlement,8324029128,Order Amount: ₹799.00
Missing Settlement,8318332216,Order Amount: ₹599.00
Missing Settlement,8335968332,Order Amount: ₹599.00
Missing Settlement,8323816378,Order Amount: ₹799.00
Missing Settlement,8324353132,Order Amount: ₹799.00
Missing Settlement,8340048532,Order Amount: ₹949.00
Missing Settlement,8324456625,Order Amount: ₹799.00
Missing Settlement,8333890424,Order Amount: ₹599.00
Missing Settlement,8323513714,Order Amount: ₹849.00
Missing Settlement,8325238219,Order Amount: ₹699.00
Missing Settlement,8330120390,Order Amount: ₹799.00
Missing Settlement,8334003958,Order Amount: ₹949.00
Missing Settlement,8336439680,Order Amount: ₹799.00
Missing Settlement,8324340981,Order Amount: ₹949.00
Missing Settlement,8332241497,Order Amount: ₹799.00
Missing Settlement,8330434062,Order Amount: ₹699.00
Missing Settlement,8337508338,Order Amount: ₹799.00
Missing Settlement,8332949577,Order Amount: ₹499.00
Missing Settlement,8304119635,Order Amount: ₹699.00
Missing Settlement,8325375591,Order Amount: ₹799.00
Missing Settlement,8333692387,Order Amount: ₹949.00
Missing Settlement,8333783653,Order Amount: ₹799.00
Missing Settlement,8330608222,Order Amount: ₹599.00
Missing Settlement,8324866302,Order Amount: ₹599.00
Missing Settlement,8334285234,Order Amount: ₹799.00
